Home,Away,Score Home,Score Away,Forfeit,Date
#WEEK 1,,,,,
MM,WH,0,2,0,12/03/2019
PRED,DHL,0,2,0,12/04/2019
VMS,BEAST,1,2,0,12/04/2019
THC,MTU,2,0,0,12/05/2019
GBF,TMT,,,,
RGR,TERRY,,,,
#WEEK 2,,,,,
DP,BEAST,,,,
VMS,MTU,,,,
MM,DHL,,,,
THC,TMT,,,,
PRED,TERRY,,,,
GBF,RGR,,,,
#WEEK 3,,,,,
VMS,TMT,,,,
MM,TERRY,,,,
THC,RGR,,,,
PRED,GBF,,,,
DP,WH,,,,
BEAST,MTU,,,,
#WEEK 4,,,,,
THC,PRED,,,,
VMS,RGR,,,,
DP,MTU,,,,
WH,DHL,,,,
BEAST,TMT,,,,
MM,GBF,,,,
#WEEK 5,,,,,
WH,TERRY,,,,
DP,DHL,,,,
MTU,TMT,,,,
VMS,PRED,,,,
BEAST,RGR,,,,
MM,THC,,,,
#WEEK 6,,,,,
MTU,RGR,,,,
BEAST,PRED,,,,
VMS,MM,,,,
DHL,TERRY,,,,
WH,GBF,,,,
DP,TMT,,,,
#WEEK 7,,,,,
BEAST,MM,,,,
WH,THC,,,,
TMT,RGR,,,,
MTU,PRED,,,,
DP,TERRY,,,,
DHL,GBF,,,,
#WEEK 8,,,,,
TMT,PRED,,,,
DP,RGR,,,,
TERRY,GBF,,,,
MTU,MM,,,,
WH,VMS,,,,
DHL,THC,,,,
#WEEK 9,,,,,
RGR,PRED,,,,
TERRY,THC,,,,
DHL,VMS,,,,
WH,BEAST,,,,
TMT,MM,,,,
DP,GBF,,,,
#WEEK 10,,,,,
DP,PRED,,,,
RGR,MM,,,,
TERRY,VMS,,,,
DHL,BEAST,,,,
MTU,WH,,,,
GBF,THC,,,,
#WEEK 11,,,,,
TERRY,BEAST,,,,
PRED,MM,,,,
GBF,VMS,,,,
DHL,MTU,,,,
DP,THC,,,,
TMT,WH,,,,
#WEEK 12,,,,,
TMT,DHL,,,,
DP,MM,,,,
RGR,WH,,,,
TERRY,MTU,,,,
THC,VMS,,,,
GBF,BEAST,,,,
#WEEK 13,,,,,
THC,BEAST,,,,
PRED,WH,,,,
TERRY,TMT,,,,
GBF,MTU,,,,
DP,VMS,,,,
RGR,DHL,,,,
