Home,Away,Score Home,Score Away,Forfeit,Date
#Week 1,,,,,
PT,SSM,1,2,0,12/02/2019
RGP,INDS,2,0,0,12/03/2019
SKWG,JAIL,1,2,0,12/03/2019
DEW,CWD,2,0,0,12/03/2019
BOOG,BREAD,2,0,0,12/05/2019
TINY,PRER,2,0,1,12/05/2019
#Week 2,,,,,
JAIL,INDS,,,,
PT,CWD,,,,
RGP,PRER,,,,
TINY,BOOG,,,,
SKWG,SSM,,,,
DEW,BREAD,,,,
#Week 3,,,,,
SSM,CWD,,,,
JAIL,PRER,,,,
RGP,BOOG,,,,
DEW,TINY,,,,
SKWG,INDS,,,,
PT,BREAD,,,,
#Week 4,,,,,
SKWG,CWD,,,,
INDS,PRER,,,,
SSM,BREAD,,,,
JAIL,BOOG,,,,
PT,TINY,,,,
RGP,DEW,,,,
#Week 5,,,,,
SKWG,PRER,,,,
CWD,BREAD,,,,
INDS,BOOG,,,,
SSM,TINY,,,,
JAIL,DEW,,,,
PT,RGP,,,,
#Week 6,,,,,
SSM,RGP,,,,
SKWG,BREAD,,,,
INDS,DEW,,,,
JAIL,PT,,,,
PRER,BOOG,,,,
CWD,TINY,,,,
#Week 7,,,,,
SKWG,BOOG,,,,
PRER,DEW,,,,
CWD,RGP,,,,
INDS,PT,,,,
SSM,JAIL,,,,
BREAD,TINY,,,,
#WEEK 8,,,,,
SKWG,TINY,,,,
BREAD,RGP,,,,
PRER,PT,,,,
CWD,JAIL,,,,
INDS,SSM,,,,
BOOG,DEW,,,,
#WEEK 9,,,,,
BOOG,PT,,,,
SKWG,DEW,,,,
TINY,RGP,,,,
CWD,INDS,,,,
BREAD,JAIL,,,,
PRER,SSM,,,,
#WEEK 10,,,,,
SKWG,RGP,,,,
DEW,PT,,,,
TINY,JAIL,,,,
BOOG,SSM,,,,
BREAD,INDS,,,,
PRER,CWD,,,,
#WEEK 11,,,,,
SKWG,PT,,,,
DEW,SSM,,,,
RGP,JAIL,,,,
TINY,INDS,,,,
BOOG,CWD,,,,
BREAD,PRER,,,,
