Home,Away,Score Home,Score Away,Forfeit,Date
#WEEK 1,,,,,
PREO,WHEEL,,,,
SEL,DKGG,,,,
R1E,LURK,,,,
WKG,NFM,,,,
PREE,YANA,,,,
SG,FC,,,,
#WEEK 2,,,,,
DKGG,NFM,,,,
R1E,FC,,,,
SEL,LURK,,,,
PREO,PREE,,,,
WKG,WHEEL,,,,
SG,YANA,,,,
#WEEK 3,,,,,
R1E,YANA,,,,
SEL,NFM,,,,
LURK,FC,,,,
DKGG,WHEEL,,,,
SG,PREO,,,,
WKG,PREE,,,,
#WEEK 4,,,,,
LURK,YANA,,,,
DKGG,PREE,,,,
SEL,FC,,,,
NFM,WHEEL,,,,
R1E,PREO,,,,
WKG,SG,,,,
#WEEK 5,,,,,
SEL,WHEEL,,,,
FC,YANA,,,,
DKGG,SG,,,,
R1E,WKG,,,,
NFM,PREE,,,,
LURK,PREO,,,,
#WEEK 6,,,,,
LURK,WKG,,,,
SEL,YANA,,,,
FC,PREO,,,,
NFM,SG,,,,
DKGG,R1E,,,,
WHEEL,PREE,,,,
#WEEK 7,,,,,
SEL,PREE,,,,
FC,WKG,,,,
YANA,PREO,,,,
WHEEL,SG,,,,
LURK,DKGG,,,,
NFM,R1E,,,,
#WEEK 8,,,,,
FC,DKGG,,,,
SEL,PREO,,,,
YANA,WKG,,,,
PREE,SG,,,,
WHEEL,R1E,,,,
NFM,LURK,,,,
#WEEK 9,,,,,
SEL,SG,,,,
PREE,R1E,,,,
WHEEL,LURK,,,,
FC,NFM,,,,
PREO,WKG,,,,
YANA,DKGG,,,,
#WEEK 10,,,,,
PREO,DKGG,,,,
SEL,WKG,,,,
SG,R1E,,,,
YANA,NFM,,,,
WHEEL,FC,,,,
PREE,LURK,,,,
#WEEK 11,,,,,
PREO,NFM,,,,
PREE,FC,,,,
SEL,R1E,,,,
WKG,DKGG,,,,
SG,LURK,,,,
YANA,WHEEL,,,,
