Home,Away,Score Home,Score Away,Forfeit,Date
#WEEK 1,,,,,
2C2T,DFR,2,1,0,12/04/2019
LUBU,RGA,0,2,0,12/04/2019
DFV,IQ,2,0,0,12/05/2019
DURC,CTHD,0,2,0,12/05/2019
DFR,RGA,0,2,0,12/06/2019
CT,HOC,,,,
WOOD,CLAP,,,,
#WEEK 2,,,,,
HOC,CTHD,,,,
DURC,CLAP,,,,
WOOD,DFV,,,,
CT,DFR,,,,
2C2T,RGA,,,,
LUBU,IQ,,,,
#WEEK 3,,,,,
CT,CTHD,,,,
HOC,CLAP,,,,
2C2T,IQ,,,,
DURC,DFV,,,,
LUBU,WOOD,,,,
#WEEK 4,,,,,
CTHD,CLAP,,,,
DFR,IQ,,,,
CT,RGA,,,,
2C2T,WOOD,,,,
HOC,DFV,,,,
DURC,LUBU,,,,
#WEEK 5,,,,,
CT,CLAP,,,,
RGA,IQ,,,,
CTHD,DFV,,,,
HOC,LUBU,,,,
DFR,WOOD,,,,
2C2T,DURC,,,,
#WEEK 6,,,,,
RGA,WOOD,,,,
CTHD,LUBU,,,,
CLAP,DFV,,,,
CT,IQ,,,,
HOC,2C2T,,,,
DFR,DURC,,,,
#WEEK 7,,,,,
RGA,DURC,,,,
CT,DFV,,,,
CLAP,LUBU,,,,
CTHD,2C2T,,,,
IQ,WOOD,,,,
DFR,HOC,,,,
#WEEK 8,,,,,
DFV,LUBU,,,,
CLAP,2C2T,,,,
CT,WOOD,,,,
IQ,DURC,,,,
RGA,HOC,,,,
CTHD,DFR,,,,
#WEEK 9,,,,,
IQ,HOC,,,,
CLAP,DFR,,,,
RGA,CTHD,,,,
CT,LUBU,,,,
WOOD,DURC,,,,
DFV,2C2T,,,,
#WEEK 10,,,,,
CT,DURC,,,,
LUBU,2C2T,,,,
WOOD,HOC,,,,
IQ,CTHD,,,,
CLAP,RGA,,,,
DFV,DFR,,,,
#WEEK 11,,,,,
DFV,RGA,,,,
IQ,CLAP,,,,
CT,2C2T,,,,
LUBU,DFR,,,,
WOOD,CTHD,,,,
DURC,HOC,,,,
