Home,Away,Score Home,Score Away,Forfeit,Date
#WEEK 1,,,,,
PM,ARRN,2,1,0,12/04/2019
TCM,ARRN,0,2,0,12/04/2019
DTT,CCS,2,0,0,12/04/2019
VFM,PM,0,2,0,12/05/2019
TRSG,CM,0,2,0,12/05/2019
BTB,WTT,,,,
#WEEK 2,,,,,
FMJ,CCS,,,,
DTT,ARRN,,,,
TCM,WTT,,,,
TRSG,PM,,,,
VFM,BTB,,,,
#WEEK 3,,,,,
TCM,VFM,,,,
CCS,ARRN,,,,
TRSG,BTB,,,,
FMJ,CM,,,,
DTT,WTT,,,,
#WEEK 4,,,,,
CCS,WTT,,,,
TRSG,TCM,,,,
FMJ,ARRN,,,,
CM,PM,,,,
DTT,VFM,,,,
#WEEK 5,,,,,
ARRN,WTT,,,,
CM,BTB,,,,
CCS,VFM,,,,
FMJ,PM,,,,
DTT,TRSG,,,,
#WEEK 6,,,,,
PM,BTB,,,,
CCS,TRSG,,,,
FMJ,WTT,,,,
ARRN,VFM,,,,
CM,TCM,,,,
#WEEK 7,,,,,
WTT,VFM,,,,
FMJ,BTB,,,,
ARRN,TRSG,,,,
CM,DTT,,,,
PM,TCM,,,,
#WEEK 8,,,,,
FMJ,VFM,,,,
WTT,TRSG,,,,
PM,DTT,,,,
BTB,TCM,,,,
CM,CCS,,,,
#WEEK 9,,,,,
VFM,TRSG,,,,
BTB,DTT,,,,
PM,CCS,,,,
ARRN,CM,,,,
FMJ,TCM,,,,
#WEEK 10,,,,,
TCM,DTT,,,,
BTB,CCS,,,,
WTT,CM,,,,
FMJ,TRSG,,,,
#WEEK 11,,,,,
TCM,CCS,,,,
FMJ,DTT,,,,
BTB,ARRN,,,,
WTT,PM,,,,
VFM,CM,,,,
