Home,Away,Score Home,Score Away,Forfeit,Date
#Week 1,,,,,
XGD,OMF,2,0,0,12/02/2019
NEXC,PREA,2,1,0,12/02/2019
FF,GOT,2,1,0,12/03/2019
PBU,IMF,2,1,0,12/04/2019
COM,ELITE,2,1,0,12/05/2019
#WEEK 2,,,,,
XGD,IMF,,,,
FF,PREA,,,,
BANC,OMF,,,,
PBU,ELITE,,,,
NEXC,COM,,,,
#WEEK 3,,,,,
OMF,IMF,,,,
XGD,ELITE,,,,
FF,COM,,,,
PBU,NEXC,,,,
BANC,GOT,,,,
#WEEK 4,,,,,
GOT,PREA,,,,
XGD,NEXC,,,,
OMF,ELITE,,,,
BANC,IMF,,,,
FF,PBU,,,,
#WEEK 5,,,,,
XGD,FF,,,,
BANC,PREA,,,,
IMF,ELITE,,,,
GOT,COM,,,,
OMF,NEXC,,,,
#WEEK 6,,,,,
OMF,FF,,,,
IMF,NEXC,,,,
PREA,COM,,,,
BANC,ELITE,,,,
GOT,PBU,,,,
#WEEK 7,,,,,
BANC,COM,,,,
PREA,PBU,,,,
ELITE,NEXC,,,,
IMF,FF,,,,
GOT,XGD,,,,
#WEEK 8,,,,,
BANC,NEXC,,,,
ELITE,FF,,,,
GOT,OMF,,,,
COM,PBU,,,,
PREA,XGD,,,,
#WEEK 9,,,,,
COM,XGD,,,,
IMF,GOT,,,,
BANC,PBU,,,,
NEXC,FF,,,,
PREA,OMF,,,,
#WEEK 10,,,,,
PBU,XGD,,,,
PREA,IMF,,,,
BANC,FF,,,,
COM,OMF,,,,
ELITE,GOT,,,,
#WEEK 11,,,,,
ELITE,PREA,,,,
PBU,OMF,,,,
BANC,XGD,,,,
NEXC,GOT,,,,
COM,IMF,,,,
