Home,Away,Score Home,Score Away,Forfeit,Date
#WEEK 1,,,,,
ACA,CN,1,2,0,12/02/2019
PG,ARCH,2,1,0,12/02/2019
RD,REGEN,1,2,0,12/05/2019
TTW,WHAT,,,,
SKY5,PRET,,,,
#WEEK 2,,,,,
PG,WHAT,,,,
ARCH,REGEN,,,,
TTW,PRET,,,,
RD,CN,,,,
SKY5,ACA,,,,
#WEEK 3,,,,,
PG,REGEN,,,,
ARCH,CN,,,,
RD,SKY5,,,,
WHAT,PRET,,,,
TTW,ACA,,,,
#WEEK 4,,,,,
PG,PRET,,,,
REGEN,CN,,,,
ARCH,SKY5,,,,
TTW,RD,,,,
WHAT,ACA,,,,
#WEEK 5,,,,,
REGEN,SKY5,,,,
WHAT,RD,,,,
ARCH,TTW,,,,
PRET,ACA,,,,
PG,CN,,,,
#WEEK 6,,,,,
PRET,RD,,,,
CN,SKY5,,,,
PG,ACA,,,,
WHAT,ARCH,,,,
REGEN,TTW,,,,
#WEEK 7,,,,,
CN,TTW,,,,
REGEN,WHAT,,,,
ACA,RD,,,,
PRET,ARCH,,,,
PG,SKY5,,,,
#WEEK 8,,,,,
SKY5,TTW,,,,
ACA,ARCH,,,,
CN,WHAT,,,,
PRET,REGEN,,,,
PG,RD,,,,
#WEEK 9,,,,,
PG,TTW,,,,
RD,ARCH,,,,
SKY5,WHAT,,,,
ACA,REGEN,,,,
CN,PRET,,,,
