Team Name,ABBRV,Division,Estimated Initial Elo,Naive,dif
Perfect Gems,PG,H,3077,2931,146
ReGen,REGEN,H,3071,2931,139
Anti-Clown Association,ACA,H,2954,2931,22
Chicken Nuggets,CN,H,2946,2931,14
World Hunger Avoidance Team,WHAT,H,2933,2931,1
Phoenix Rising Topaz,PRET,H,2917,2931,-15
Archon,ARCH,H,2899,2931,-33
Goodbye Forever,GBF,A,2896,2819,77
Beast Coast,BEAST,A,2858,2819,39
Party Time,PT,BE,2855,2743,112
ReGen Retro,RGR,A,2851,2819,33
Dread Pirates,DP,A,2847,2819,28
RewinD,RD,H,2846,2931,-85
Team Happy Cloud,THC,A,2842,2819,23
Sky5,SKY5,H,2837,2931,-95
TTW,TTW,H,2836,2931,-95
ReGen Phoenix,RGP,BE,2835,2743,92
Terry's Crew,TERRY,A,2818,2819,0
Deathwing's Hookah Lounge,DHL,A,2816,2819,-3
Main Tank Uther,MTU,A,2815,2819,-3
Virtual Murky Slayers,VMS,A,2808,2819,-11
Phoenix Rising Ruby,PRER,BE,2804,2743,61
Minion Miners,MM,A,2784,2819,-35
Who Knows Gaming,WKG,BW,2782,2711,70
Tickle Me Tassadar,TMT,A,2776,2819,-43
Wholesome Halfwits,WH,A,2775,2819,-44
Phoenix Rising Emerald,PREE,BW,2763,2711,52
Phoenix Rising Diamond,PRED,A,2758,2819,-61
Roll1Esports,R1E,BW,2758,2711,46
Arrogant Nephalem,ARRN,CW,2753,2671,81
Bread Rising Yeast Sports,BREAD,BE,2743,2743,0
Demonic Entity Within,DEW,BE,2742,2743,-1
Phoenix Rising Onyx,PREO,BW,2741,2711,30
Saltscale Mrgles,SSM,BE,2741,2743,-2
Tiny Dancers,TINY,BE,2740,2743,-3
Can't Counterpick Stupid,CCS,CW,2729,2671,58
Jailbait,JAIL,BE,2729,2743,-14
Indecisive Scrubs,INDS,BE,2724,2743,-19
Feigned Competance,FC,BW,2723,2711,12
You Are Not Alone!,YANA,BW,2720,2711,8
Church of Murky,COM,DE,2718,2581,137
Team Rainbow Strike Go!,TRSG,CW,2713,2671,41
Deviled Keggs,DKGG,BW,2709,2711,-2
Better Than Bots,BTB,CW,2704,2671,32
sOaK eVeRy LaNe,SEL,BW,2698,2711,-13
Chaos of the Waking Dragon,CWD,BE,2693,2743,-50
Calculated Throw Hanamura Drift,CTHD,CE,2693,2652,40
Deep Fried Ragaros,DFR,CE,2691,2652,39
Lurk Patrol,LURK,BW,2689,2711,-22
Die for Vision,DFV,CE,2687,2652,35
Please Clap,CLAP,CE,2687,2652,34
Spooky Ghosts,SG,BW,2687,2711,-25
I Must Feed,IMF,DE,2677,2581,97
Clouded Minds,CM,CW,2675,2671,4
Skiggly's Wiggly's,SKWG,BE,2672,2743,-71
Tidecaller Mrgles,TCM,CW,2667,2671,-4
Waiting on Cherry,WOC,DW,2666,2560,106
Calculated Throw,CT,CE,2660,2652,8
Necrofin Mrgles,NFM,BW,2660,2711,-51
Illidancing Queens,IQ,CE,2655,2652,2
ReGen Anomaly,RGA,CE,2655,2652,2
Dat Tass Tho,DTT,CW,2647,2671,-25
LuBu,LUBU,CE,2644,2652,-8
Full Meta Jacket,FMJ,CW,2643,2671,-28
Boogan Squad,BOOG,BE,2638,2743,-105
Ban Cho,BANC,DE,2637,2581,57
Wood Tap That,WTT,CW,2636,2671,-35
The Baddest Dudez,TBD,DW,2634,2560,74
House of Chez,HOC,CE,2632,2652,-21
Randy Newman,RNDY,DW,2629,2560,69
Tri-Hardz,TRIH,DW,2628,2560,68
Piecemeal,PM,CW,2622,2671,-49
Durotan's Couch,DURC,CE,2619,2652,-34
We The Pepegas,WTP,DW,2613,2560,53
Wood League,WOOD,CE,2609,2652,-43
Team Training Wheels,WHEEL,BW,2605,2711,-106
Bloodfin Mrgls,BFM,DW,2605,2560,45
2 Calculated 2 Throw,2C2T,CE,2599,2652,-53
VileFin Mrgles,VFM,CW,2595,2671,-76
Xul Gin Distillery,XGD,DE,2594,2581,13
Franks Furters,FF,DE,2593,2581,12
Phoenix Rising Amethyst,PREA,DE,2582,2581,1
ProBUs,PBU,DE,2579,2581,-2
Blood Bath & Beyond,BB&B,DW,2578,2560,18
Nexus Cats,NEXC,DE,2569,2581,-11
Ghosts of YavapaiCMYCCaSTT,YCST,DW,2557,2560,-3
One More Fight!,OMF,DE,2536,2581,-45
Team E-lite,ELITE,DE,2530,2581,-51
Psi Storm,PSIS,DW,2510,2560,-50
The Tibians,TIBIA,DW,2472,2560,-88
Game of Throws,GOT,DE,2374,2581,-206
The Spoilers,SPOIL,DW,2268,2560,-292
